product_code,product_name,category_code,sub_category_code,brand_code,hsn_code,uom_code,length,width,height,weight,status,specification
BULK-PROD-033,Bulk Commercial Item #033,MAC,SUB-BAND,BR-INH,84223000,PCS,13,23,13,13.7,active,Bulk import verification specification for item #033
BULK-PROD-034,Bulk Commercial Item #034,ING,SUB-CITRIC,BR-FBQ,29181400,KG,14,24,14,14.1,active,Bulk import verification specification for item #034
BULK-PROD-035,Bulk Commercial Item #035,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,15,25,15,14.5,active,Bulk import verification specification for item #035
BULK-PROD-036,Bulk Commercial Item #036,PMP,,BR-OSS,84137090,PCS,16,26,16,14.9,active,Bulk import verification specification for item #036
BULK-PROD-037,Bulk Commercial Item #037,MAC,SUB-BAND,BR-INH,84223000,PCS,17,27,17,15.3,active,Bulk import verification specification for item #037
BULK-PROD-038,Bulk Commercial Item #038,ING,SUB-CITRIC,BR-FBQ,29181400,KG,18,28,18,15.7,active,Bulk import verification specification for item #038
BULK-PROD-039,Bulk Commercial Item #039,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,19,29,19,16.1,active,Bulk import verification specification for item #039
BULK-PROD-040,Bulk Commercial Item #040,PMP,,BR-OSS,84137090,PCS,20,10,20,16.5,active,Bulk import verification specification for item #040
BULK-PROD-041,Bulk Commercial Item #041,MAC,SUB-BAND,BR-INH,84223000,PCS,21,11,21,16.9,active,Bulk import verification specification for item #041
BULK-PROD-042,Bulk Commercial Item #042,ING,SUB-CITRIC,BR-FBQ,29181400,KG,22,12,22,17.3,active,Bulk import verification specification for item #042
BULK-PROD-043,Bulk Commercial Item #043,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,23,13,23,17.7,active,Bulk import verification specification for item #043
BULK-PROD-044,Bulk Commercial Item #044,PMP,,BR-OSS,84137090,PCS,24,14,24,18.1,active,Bulk import verification specification for item #044
BULK-PROD-045,Bulk Commercial Item #045,MAC,SUB-BAND,BR-INH,84223000,PCS,25,15,10,18.5,active,Bulk import verification specification for item #045
BULK-PROD-046,Bulk Commercial Item #046,ING,SUB-CITRIC,BR-FBQ,29181400,KG,26,16,11,18.9,active,Bulk import verification specification for item #046
BULK-PROD-047,Bulk Commercial Item #047,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,27,17,12,19.3,active,Bulk import verification specification for item #047
BULK-PROD-048,Bulk Commercial Item #048,PMP,,BR-OSS,84137090,PCS,28,18,13,19.7,active,Bulk import verification specification for item #048
BULK-PROD-049,Bulk Commercial Item #049,MAC,SUB-BAND,BR-INH,84223000,PCS,29,19,14,20.1,active,Bulk import verification specification for item #049
BULK-PROD-050,Bulk Commercial Item #050,ING,SUB-CITRIC,BR-FBQ,29181400,KG,30,20,15,20.5,active,Bulk import verification specification for item #050
